"","Feature ID","Taxon","Domain","Supergroup","Phylum","Class","Order","Family","Genus","Species"
"11785","a6c398116e06c0f734c5227b1a9bda05","Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-21;Dino-Group-II-Clade-21_X;Dino-Group-II-Clade-21_X_sp.;","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-21","Dino-Group-II-Clade-21_X","Dino-Group-II-Clade-21_X_sp."
"11786","a6d62ff696f63652cf079e48e2249fc7","Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Blastodiniaceae;Blastodinium","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Blastodiniaceae","Blastodinium",NA
"11787","a68dfa8b4c956f9461a4202faca1724a","Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_XX","Dinophyceae_XXX","Dinophyceae_XXX_sp."
"11788","a6cf8e041a88aeba1884dc14c5c00c5b","Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Thoracosphaeraceae","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Thoracosphaeraceae",NA,NA
"11789","a6ee3bb078b3d8317b53bac5c607e842","Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Dinophyceae_X","Dinophyceae_XX","Dinophyceae_XXX","Dinophyceae_XXX_sp."
"11790","a6f35b3a28e6871b81195da969f45da8","Eukaryota;Alveolata;Ciliophora;Prostomatea_3;Prostomatea_3_X;Holophryidae;Holophryidae_X;Holophryidae_X_sp.;","Eukaryota","Alveolata","Ciliophora","Prostomatea_3","Prostomatea_3_X","Holophryidae","Holophryidae_X","Holophryidae_X_sp."
"11791","a662c7e447c3fe32562c4d15169252c0","Unassigned","Unassigned",NA,NA,NA,NA,NA,NA,NA
"11792","a6f5e7fead42fbb523ab7f0bf9e232ba","Eukaryota;Stramenopiles;Opalozoa;MAST-3","Eukaryota","Stramenopiles","Opalozoa","MAST-3",NA,NA,NA,NA
"11793","a6ace51d01c51b3a147cb8048360522b","Eukaryota;Amoebozoa;Lobosa;Lobosa_X;Stygamoebida;Stygamoebida_X;Stygamoebida_XX;Stygamoebida_XX_sp.;","Eukaryota","Amoebozoa","Lobosa","Lobosa_X","Stygamoebida","Stygamoebida_X","Stygamoebida_XX","Stygamoebida_XX_sp."
"11794","a6e206f57f29ee91db70fbd3f3f4e4eb","Eukaryota;Rhizaria;Radiolaria;Acantharea","Eukaryota","Rhizaria","Radiolaria","Acantharea",NA,NA,NA,NA
"11795","a6ec5e51092ad3ad3f63b2220074c938","Eukaryota;Rhizaria;Radiolaria;Polycystinea;Nassellaria;Lophophaenidae","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Lophophaenidae",NA,NA
"11796","a6eb6655a56832e4648e86d92f65cae3","Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II",NA,NA,NA
"11797","a6fecdf17098c4e0dd349e821ecee7eb","Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Pelagomonas;Pelagomonas_calceolata;","Eukaryota","Stramenopiles","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadaceae","Pelagomonas","Pelagomonas_calceolata"
"11798","a6dacaba608c509ee4a87cc50e4f89a7","Eukaryota;Rhizaria;Cercozoa","Eukaryota","Rhizaria","Cercozoa",NA,NA,NA,NA,NA
"11799","a70b1abf5d7ed23289feece9e5e6ed3a","Eukaryota;Stramenopiles;Sagenista;MAST-9","Eukaryota","Stramenopiles","Sagenista","MAST-9",NA,NA,NA,NA
"11800","a70cf2a76116fe353593cce7eb54226b","Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Pedinellales;Pedinellales_X;Pedinellales_X_sp.;","Eukaryota","Stramenopiles","Ochrophyta","Dictyochophyceae","Dictyochophyceae_X","Pedinellales","Pedinellales_X","Pedinellales_X_sp."
"11801","a706421695e1ecfee16af6abb92ab90f","Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Allapsidae_X;Allapsidae_X_sp.;","Eukaryota","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Glissomonadida","Allapsidae","Allapsidae_X","Allapsidae_X_sp."
"11802","a712f49d1797ef9262f647dceb7c87a0","Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina_sp.;","Eukaryota","Hacrobia","Haptophyta","Prymnesiophyceae","Prymnesiales","Chrysochromulinaceae","Chrysochromulina","Chrysochromulina_sp."
"11803","a70f989dd3ef38aecadfc4cc8c239df7","Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Maxillopoda_X;Maxillopoda_X_sp.;","Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Maxillopoda_X","Maxillopoda_X_sp."
